conf,year,title,doi,in_scope,out of scope comment,pagesim,nav,depth,limit,pageload,objective,needs navigation,topic,nonav reason
ccs,2010,An Empirical Study of Privacy-Violating Information Flows in JavaScript Web Applications,https://doi.org/10.1145/1866307.1866339,yes,,Homepage,Homepage,Homepage,Homepage,Unspecified,JavaScript Analysis,yes,"Web Security, Privacy, Measurements","One direction for future work is a larger scale study on privacy-violating information flows. Such a study could perform a deeper crawl of the web, going beyond the frontpages of web sites, and could look at more kinds of privacyviolating information flows."
ccs,2010,BLADE: An Attack-Agnostic Approach for Preventing Drive-by Malware Infections,https://doi.org/10.1145/1866307.1866356,yes,,Homepage,Homepage,Homepage,Homepage,1 min,Predefined URL List,no,"Malware, Web Security",
ccs,2010,Protecting Browsers from Cross-Origin CSS Attacks,https://doi.org/10.1145/1866307.1866376,yes,,Homepage,Homepage,Homepage,Homepage,onload,Page Resources,yes,Web Security,
ccs,2011,App Isolation: Get the Security of Multiple Browsers with Just One,https://doi.org/10.1145/2046707.2046734,yes,,Homepage,Homepage,Homepage,Homepage,onload,Browser Performance,yes,Web Security,
ccs,2011,Cirripede: Circumvention Infrastructure Using Router Redirection with Plausible Deniability,https://doi.org/10.1145/2046707.2046730,no,no crawl,,,,,,,,,
ccs,2011,Cloak and dagger: dynamics of web search cloaking.,https://doi.org/10.1145/2046707.2046763,yes,,Homepage,Homepage,Homepage,Homepage,Unspecified,Predefined URL List,no,Measurements,
ccs,2011,Fortifying Web-Based Applications Automatically,https://doi.org/10.1145/2046707.2046777,yes,,Homepage,Homepage,Homepage,Homepage,Unspecified,Back-end Stack,yes,Web Security,"To avoid ambiguity, we choose to analyze the main service, or the front page service when we refer to a website."
ccs,2012,Enhancing Tor's Performance Using Real-Time Traffic Classification,https://doi.org/10.1145/2382196.2382208,yes,,Homepage,Homepage,Homepage,Homepage,random,Traffic Simulation,no,Browsers,
ccs,2012,FlowFox: A Web Browser with Flexible and Precise Information Flow Control,https://doi.org/10.1145/2382196.2382275,yes,,Homepage,Homepage,Homepage,Homepage,onload,Breakage,yes,Web Security,"This first experiment is an automatic crawl. It just visits the homepages of websites. Even though these home pages in most cases contain intricate JavaScript code, the experiment could not interact intensely with the websites visited. Hence, we performed a second experiment, where FlowFox is used to complete several complex, interactive web scenarios with a random selection of popular sites."
ccs,2012,Knowing Your Enemy: Understanding and Detecting Malicious Web Advertising,https://doi.org/10.1145/2382196.2382267,yes,,Homepage,Homepage,Homepage,Homepage,Unspecified,Advertisements,yes,"Malware, Cybercrime, Measurements","By crawling just the top 90,000 Alexa home page [...] Considering our crawling scale is small, the actual malvertising problem can be more severe."
ccs,2012,Operating system framed in case of mistaken identity: measuring the success of web-based spoofing attacks on OS password-entry dialogs.,https://doi.org/10.1145/2382196.2382237,no,,,,,,,,,,
ccs,2012,Routing around Decoys,https://doi.org/10.1145/2382196.2382209,yes,,Homepage,Homepage,Homepage,Homepage,wait until app data packet,Censorship,no,"Censorship, Network Security",
ccs,2012,StegoTorus: A Camouflage Proxy for the Tor Anonymity System,https://doi.org/10.1145/2382196.2382211,yes,,Homepage,Homepage,Homepage,Homepage,70 sec,Censorship,no,"Censorship, Privacy, Fingerprinting",
ccs,2012,The Devil is in the (Implementation) Details: An Empirical Analysis of OAuth SSO Systems,https://doi.org/10.1145/2382196.2382238,no,manual,,,,,,,,,
ccs,2012,Touching from a Distance: Website Fingerprinting Attacks and Defenses,https://doi.org/10.1145/2382196.2382260,yes,,Homepage,Homepage,Homepage,Homepage,Unspecified,Website Fingerprinting,yes,"Web Security, Fingerprinting, Privacy",
ccs,2012,You Are What You Include: Large-Scale Evaluation of Remote Javascript Inclusions,https://doi.org/10.1145/2382196.2382274,yes,,None,Search-based,N/A,500,onload,,,"Web Security, Measurements",
ccs,2013,25 Million Flows Later: Large-Scale Detection of DOM-Based XSS,https://doi.org/10.1145/2508859.2516703,yes,,None,BFS,1,None,Unspecified,,,"Web Security, Measurements",
ccs,2013,FPDetective: Dusting the Web for Fingerprinters,https://doi.org/10.1145/2508859.2516674,yes,,None,Unspecified,1,26,10 sec,,,"Web Security, Measurements, Privacy, Fingerprinting",
ccs,2013,MXSS Attacks: Attacking Well-Secured Web-Applications by Using InnerHTML Mutations,https://doi.org/10.1145/2508859.2516723,yes,,None,BFS,1,None,onload,,,Web Security,
ccs,2013,Polyglots: Crossing Origins by Crossing Formats,https://doi.org/10.1145/2508859.2516685,no,manual,,,,,,,,,
ccs,2013,Protecting Sensitive Web Content from Client-Side Vulnerabilities with CRYPTONS,https://doi.org/10.1145/2508859.2516743,no,manual,,,,,,,,,
ccs,2013,Protocol Misidentification Made Easy with Format-Transforming Encryption,https://doi.org/10.1145/2508859.2516657,yes,,Homepage,Homepage,Homepage,Homepage,Unspecified,Network Routing,no,Network Security,
ccs,2014,A Critical Evaluation of Website Fingerprinting Attacks,https://doi.org/10.1145/2660267.2660368,yes,,Homepage,Homepage,Homepage,Homepage,5 sec,Website Fingerprinting,yes,"Web Security, Fingerprinting, Privacy",We chose to do this to not to overwhelm the classifier with false positives when it matches an inner page with the homepage.
ccs,2014,A Systematic Approach to Developing and Evaluating Website Fingerprinting Defenses,https://doi.org/10.1145/2660267.2660362,yes,,Homepage,Homepage,Homepage,Homepage,network stop,Website Fingerprinting,yes,"Web Security, Fingerprinting, Privacy",
ccs,2014,ALETHEIA: Improving the Usability of Static Security Analysis,https://doi.org/10.1145/2660267.2660339,yes,,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,System Security,
ccs,2014,Clubbing Seals: Exploring the Ecosystem of Third-Party Security Seals,https://doi.org/10.1145/2660267.2660279,yes,,Unspecified,Unspecified,Unspecified,11,Unspecified,,,"Web Security, Malware",
ccs,2014,The Web Never Forgets: Persistent Tracking Mechanisms in the Wild,https://doi.org/10.1145/2660267.2660347,yes,,Homepage,Homepage,Homepage,Homepage,Unspecified,Tracking,yes,"Web Security, Privacy, Measurements",Note that our crawl in this paper was limited to home pages. A deeper crawl covering internal pages of the crawled sites could find a higher percentage of fingerprinting.
ccs,2014,Your Online Interests: Pwned! A Pollution Attack Against Targeted Advertising,https://doi.org/10.1145/2660267.2687258,yes,,Homepage,Homepage,Homepage,Homepage,Unspecified,CSP & Other Headers,yes,Cybercrime,
ccs,2015,A Search Engine Backed by Internet-Wide Scanning,https://doi.org/10.1145/2810103.2813703,yes,,Homepage,Homepage,Homepage,Homepage,Unspecified,Website Probing,no,"Web Security, Measurements",
ccs,2015,ASLR-Guard: Stopping Address Space Leakage for Code Reuse Attacks.,https://doi.org/10.1145/2810103.2813694,no,,,,,,,,,,
ccs,2015,CARONTE: Detecting Location Leaks for Deanonymizing Tor Hidden Services,https://doi.org/10.1145/2810103.2813667,yes,,Homepage,Homepage,Homepage,Homepage,Unspecified,Website Probing,no,"Web Security, Privacy",
ccs,2015,Drops for Stuff: An Analysis of Reshipping Mule Scams.,https://doi.org/10.1145/2810103.2813620,no,,,,,,,,,,
ccs,2015,From Facepalm to Brain Bender: Exploring Client-Side Cross-Site Scripting,https://doi.org/10.1145/2810103.2813625,yes,,Homepage,Homepage,Homepage,Homepage,Unspecified,Predefined URL List,no,"Web Security, Measurements",
ccs,2015,Imperfect Forward Secrecy: How Diffie-Hellman Fails in Practice,https://doi.org/10.1145/2810103.2813707,no,tls scan,,,,,,,,,
ccs,2015,Maneuvering Around Clouds: Bypassing Cloud-Based Security Providers,https://doi.org/10.1145/2810103.2813633,yes,,Unspecified,Unspecified,None,501,Unspecified,,,"Network Security, Measurements",
ccs,2015,Seeing through Network-Protocol Obfuscation,https://doi.org/10.1145/2810103.2813715,yes,,Homepage,Homepage,Homepage,Homepage,Unspecified,Censorship,no,"Censorship, Privacy",
ccs,2015,Sunlight: Fine-Grained Targeting Detection at Scale with Statistical Confidence,https://doi.org/10.1145/2810103.2813614,yes,,None,Search-based,N/A,10,Unspecified,,,"Privacy, Measurements",
ccs,2015,The Clock is Still Ticking: Timing Attacks in the Modern Web.,https://doi.org/10.1145/2810103.2813632,no,,,,,,,,,,
ccs,2015,The SICILIAN Defense: Signature-Based Whitelisting of Web JavaScript,https://doi.org/10.1145/2810103.2813710,yes,,Unspecified,Unspecified,3,Unspecified,Unspecified,,,Web Security,
ccs,2015,The Spy in the Sandbox: Practical Cache Attacks in JavaScript and Their Implications,https://doi.org/10.1145/2810103.2813708,no,manual,,,,,,,,,
